handle,title,variant_id,variant_title,ngn_amount_minor,cad_amount_minor
no-1,Impact No. 1,variant_01KQX7DN9401MS0AKJ13KWHNYB,Impact No. 1 - 100ml,50000,55
no-2,Impact No. 2,variant_01KQX7DNKSJYWWDMMTSCMA0BV8,Impact No. 2 - 100ml,5000000,5500
no-3,Impact No. 3,variant_01KQX7DNVN7QFMDY57AFB1G1SJ,Impact No. 3 - 100ml,5000000,5500
no-4,Impact No. 4,variant_01KQX7DP2FKD6RYNBMHEFG6SRW,Impact No. 4 - 100ml,5000000,5500
no-5,Impact No. 5,variant_01KQX7DPA5K0PSR29XKM1S89C2,Impact No. 5 - 100ml,5000000,5500
no-6,Impact No. 6,variant_01KQX7DPH6FPNQE825F350BH7X,Impact No. 6 - 100ml,5000000,5500
no-7,Impact No. 7,variant_01KQX7DPRDK732KP545NFGYGW6,Impact No. 7 - 100ml,5000000,5500
no-8,Impact No. 8,variant_01KQX7DQ0PS25XZ9N18STS5JWK,Impact No. 8 - 100ml,5000000,5500
no-9,Impact No. 9,variant_01KQX7DQ8D1RXCBE7A7BHXBHZ6,Impact No. 9 - 100ml,5000000,5500
no-10,Impact No. 10,variant_01KQX7DQG20ZH65WEWT199M23T,Impact No. 10 - 100ml,5000000,5500
no-11,Impact No. 11,variant_01KQX7DQPVJGXRMQD6960F50KN,Impact No. 11 - 100ml,5000000,5500
no-12,Impact No. 12,variant_01KQX7DQXGXD7BVQENWDE6T5QF,Impact No. 12 - 100ml,5000000,5500
no-13,Impact No. 13,variant_01KQX7DR3X9CAMDNN8JMG9V1EQ,Impact No. 13 - 100ml,5000000,5500
no-14,Impact No. 14,variant_01KQX7DRB0JCH9SQ76XJGRZ6PE,Impact No. 14 - 100ml,5000000,5500
no-15,Impact No. 15,variant_01KQX7DRJ638XRS54WYBQCK0YD,Impact No. 15 - 100ml,5000000,5500
no-16,Impact No. 16,variant_01KQX7DZ99H18TEX8KG1FDXD9Z,Impact No. 16 - 100ml,5000000,5500
no-17,Impact No. 17,variant_01KQX7DZGMF02KPZE08A0Q7JCQ,Impact No. 17 - 100ml,5000000,5500
no-18,Impact No. 18,variant_01KQX7DZRR03XC3VEC0HYF2JK2,Impact No. 18 - 100ml,5000000,5500
no-19,Impact No. 19,variant_01KQX7DZZYVVXAEF1JYQAG6AK4,Impact No. 19 - 100ml,5000000,5500
no-20,Impact No. 20,variant_01KQX7E06T9EY29QEDAV9J6XDE,Impact No. 20 - 100ml,5000000,5500
no-21,Impact No. 21,variant_01KQX7E0DW2SE7JQG6BCCXBPRM,Impact No. 21 - 100ml,5000000,5500
no-22,Impact No. 22,variant_01KQX7E0MWRKJE6JMJESVJRZBN,Impact No. 22 - 100ml,5000000,5500
no-23,Impact No. 23,variant_01KQX7E0WCT82WW7WAPHJMTGX5,Impact No. 23 - 100ml,5000000,5500
no-24,Impact No. 24,variant_01KQX7E135Y6SNPPF32KPQ4SBB,Impact No. 24 - 100ml,5000000,5500
no-25,Impact No. 25,variant_01KQX7E19C8SBF48P50Y4RXKD2,Impact No. 25 - 100ml,5000000,5500
no-26,Impact No. 26,variant_01KQX7E1F48XX8HS1F5GGZP502,Impact No. 26 - 100ml,5000000,5500
no-27,Impact No. 27,variant_01KQX7E1NFJ0FT485SAHM0SEYQ,Impact No. 27 - 100ml,5000000,5500
no-28,Impact No. 28,variant_01KQX7E1VVS91G1B03ZXM27PR5,Impact No. 28 - 100ml,5000000,5500
no-29,Impact No. 29,variant_01KQX7E22T8FMNFX4ZQ8HHGYHS,Impact No. 29 - 100ml,5000000,5500
no-30,Impact No. 30,variant_01KQX7E29DNKNXCS1MJ825EF2V,Impact No. 30 - 100ml,5000000,5500
no-31,Impact No. 31,variant_01KQX7E95MAPS5SH5G933HJK7W,Impact No. 31 - 100ml,5000000,5500
no-32,Impact No. 32,variant_01KQX7E9EAN7DHXW138AQ8T8GV,Impact No. 32 - 100ml,5000000,5500
no-33,Impact No. 33,variant_01KQX7E9PA8T9EDJHV99XMZ5DS,Impact No. 33 - 100ml,5000000,5500
no-34,Impact No. 34,variant_01KQX7E9YAQCPC006PRTZT2Z98,Impact No. 34 - 100ml,5000000,5500
no-35,Impact No. 35,variant_01KQX7EA6ED6G795P7WC761FN1,Impact No. 35 - 100ml,5000000,5500
no-36,Impact No. 36,variant_01KQX7EADH2EJF1NY34A1RMEVK,Impact No. 36 - 100ml,5000000,5500
no-37,Impact No. 37,variant_01KQX7EAMMF69QS3JD0997GGRX,Impact No. 37 - 100ml,5000000,5500
no-38,Impact No. 38,variant_01KQX7EAVMCZX6NX6GKV4MME2R,Impact No. 38 - 100ml,5000000,5500
no-39,Impact No. 39,variant_01KQX7EB29YYTWD9CXWNBCEAWM,Impact No. 39 - 100ml,5000000,5500
no-40,Impact No. 40,variant_01KQX7EB8G1YXRTNWS52W8XP4E,Impact No. 40 - 100ml,5000000,5500
no-41,Impact No. 41,variant_01KQX7EBERT80ZNHQJ28D4KXA2,Impact No. 41 - 100ml,5000000,5500
no-42,Impact No. 42,variant_01KQX7EBMA3MNE3Y51V0Y6G652,Impact No. 42 - 100ml,5000000,5500
no-43,Impact No. 43,variant_01KQX7EBTRH2RMFGYBQNRZ2H7H,Impact No. 43 - 100ml,5000000,5500
no-44,Impact No. 44,variant_01KQX7EC15VC4A1HSTVS9HNHDC,Impact No. 44 - 100ml,5000000,5500
no-45,Impact No. 45,variant_01KQX7EC75AXY4CEVK8XAQAKBE,Impact No. 45 - 100ml,5000000,5500
no-46,Impact No. 46,variant_01KQX7ECCXPP5VQ3D7XA4AD186,Impact No. 46 - 100ml,5000000,5500
no-47,Impact No. 47,variant_01KQX7ECK5CBX5N95ZCEZ01MPT,Impact No. 47 - 100ml,5000000,5500
no-48,Impact No. 48,variant_01KQX7ECSQR8YB8GHX5YG8MCFV,Impact No. 48 - 100ml,5000000,5500
no-49,Impact No. 49,variant_01KQX7ED0PSBRY3FTX5E9DV95A,Impact No. 49 - 100ml,5000000,5500
no-50,Impact No. 50,variant_01KQX7ED7BBR4ZXEN569ZC87Q7,Impact No. 50 - 100ml,5000000,5500
oil-no-1,Impact Oil No. 1,variant_01KRXZN2C28RFZ95Q3RAFX8W72,Impact Oil No. 1 - 12ml,2500000,2750
oil-no-2,Impact Oil No. 2,variant_01KRXZN2W2TX1F1V0W8H1FM61V,Impact Oil No. 2 - 12ml,2500000,2750
oil-no-3,Impact Oil No. 3,variant_01KRXZN37HDD63VSB9WMW70Q6S,Impact Oil No. 3 - 12ml,2500000,2750
oil-no-4,Impact Oil No. 4,variant_01KRXZN3KD5NSTRVWQGW3G9MAF,Impact Oil No. 4 - 12ml,2500000,2750
oil-no-5,Impact Oil No. 5,variant_01KRXZN40PYQTV6C9V21H2T3EB,Impact Oil No. 5 - 12ml,2500000,2750
oil-no-6,Impact Oil No. 6,variant_01KRXZN4D7G9HZYCC4PZNPHV2Y,Impact Oil No. 6 - 12ml,2500000,2750
oil-no-7,Impact Oil No. 7,variant_01KRXZN4RJ6G3XTDCT9M8D8BX1,Impact Oil No. 7 - 12ml,2500000,2750
oil-no-8,Impact Oil No. 8,variant_01KRXZN54BDH5MF60Z34E1MRG6,Impact Oil No. 8 - 12ml,2500000,2750
oil-no-9,Impact Oil No. 9,variant_01KRXZN5JY0Q09B1F6BG21C6VY,Impact Oil No. 9 - 12ml,2500000,2750
oil-no-10,Impact Oil No. 10,variant_01KRXZN5Z75KC08VPFC99DPWW7,Impact Oil No. 10 - 12ml,2500000,2750
oil-no-11,Impact Oil No. 11,variant_01KRXZN6D93785R63K5N3TD2RY,Impact Oil No. 11 - 12ml,2500000,2750
oil-no-12,Impact Oil No. 12,variant_01KRXZN6RWB65G5CS1GJNB2J4A,Impact Oil No. 12 - 12ml,2500000,2750
oil-no-13,Impact Oil No. 13,variant_01KRXZN745BSR33PQB50J0KW9S,Impact Oil No. 13 - 12ml,2500000,2750
oil-no-14,Impact Oil No. 14,variant_01KRXZN7FPH0R1E75HXEF4QB9G,Impact Oil No. 14 - 12ml,2500000,2750
oil-no-15,Impact Oil No. 15,variant_01KRXZN7Y0NH4CQXEHYZSEGBA1,Impact Oil No. 15 - 12ml,2500000,2750
oil-no-16,Impact Oil No. 16,variant_01KRXZN8A100EJER2WXD2003VN,Impact Oil No. 16 - 12ml,2500000,2750
oil-no-17,Impact Oil No. 17,variant_01KRXZN8NZ81M5FDCNDDAFDWR9,Impact Oil No. 17 - 12ml,2500000,2750
oil-no-18,Impact Oil No. 18,variant_01KRXZN921SRTF913VEPCQ7BVA,Impact Oil No. 18 - 12ml,2500000,2750
oil-no-19,Impact Oil No. 19,variant_01KRXZN9FQASYNX2BW7CDZQ6AY,Impact Oil No. 19 - 12ml,2500000,2750
oil-no-20,Impact Oil No. 20,variant_01KRXZN9VR40KSW24HJB88HQKR,Impact Oil No. 20 - 12ml,2500000,2750
oil-no-21,Impact Oil No. 21,variant_01KRXZNA8AQG70VDC2TYTJBSQ5,Impact Oil No. 21 - 12ml,2500000,2750
oil-no-22,Impact Oil No. 22,variant_01KRXZNAPGVDP77WMYY25DEGGA,Impact Oil No. 22 - 12ml,2500000,2750
oil-no-23,Impact Oil No. 23,variant_01KRXZNB2EX0QKTPCFQVFWJQM8,Impact Oil No. 23 - 12ml,2500000,2750
oil-no-24,Impact Oil No. 24,variant_01KRXZNBH34EWQVBCC1KNR34BH,Impact Oil No. 24 - 12ml,2500000,2750
oil-no-25,Impact Oil No. 25,variant_01KRXZNBX5H7FG0EPM2YXADB4A,Impact Oil No. 25 - 12ml,2500000,2750
oil-no-26,Impact Oil No. 26,variant_01KRXZNC8EK0TXT12VD74JVNAR,Impact Oil No. 26 - 12ml,2500000,2750
oil-no-27,Impact Oil No. 27,variant_01KRXZNCM50ZR0CNGRY8VSG1X4,Impact Oil No. 27 - 12ml,2500000,2750
oil-no-28,Impact Oil No. 28,variant_01KRXZND2CS2PKHNGYJHP95K0Z,Impact Oil No. 28 - 12ml,2500000,2750
oil-no-29,Impact Oil No. 29,variant_01KRXZNDEPZSAE4V31P46348GG,Impact Oil No. 29 - 12ml,2500000,2750
oil-no-30,Impact Oil No. 30,variant_01KRXZNDTW5KYDEPZBJYRXAG2H,Impact Oil No. 30 - 12ml,2500000,2750
oil-no-31,Impact Oil No. 31,variant_01KRXZNE8XSE6WM8QM10DQ9CJY,Impact Oil No. 31 - 12ml,2500000,2750
oil-no-32,Impact Oil No. 32,variant_01KRXZNEMW13HG9DW3EM0K3JRZ,Impact Oil No. 32 - 12ml,2500000,2750
