Name,Category,Quantity,Selling Price (NGN),Selling Price (CAD)
100ml Perfume No 12,No Series,3,"NGN45,000.00",$60
100ml Perfume No 14,No Series,4,"NGN45,000.00",$60
100ml Perfume No 17,No Series,4,"NGN45,000.00",$60
100ml Perfume No 18,No Series,1,"NGN45,000.00",$60
100ml Perfume No 19,No Series,5,"NGN45,000.00",$60
100ml Perfume No 24,No Series,4,"NGN45,000.00",$60
100ml Perfume No 25,No Series,3,"NGN45,000.00",$60
100ml Perfume No 26,No Series,3,"NGN45,000.00",$60
100ml Perfume No 28,No Series,11,"NGN45,000.00",$60
100ml Perfume No 29,No Series,3,"NGN45,000.00",$60
100ml Perfume No 30,No Series,7,"NGN45,000.00",$60
100ml Perfume No 31,No Series,4,"NGN45,000.00",$60
100ml Perfume No 32,No Series,3,"NGN45,000.00",$60
100ml Perfume No 33,No Series,2,"NGN45,000.00",$60
100ml Perfume No 35,No Series,5,"NGN45,000.00",$60
100ml Perfume No 36,No Series,1,"NGN45,000.00",$60
100ml Perfume No 37,No Series,3,"NGN45,000.00",$60
100ml Perfume No 39,No Series,3,"NGN45,000.00",$60
100ml Perfume No 4,No Series,3,"NGN45,000.00",$60
100ml Perfume No 40,No Series,4,"NGN45,000.00",$60
100ml Perfume No 43,No Series,4,"NGN45,000.00",$60
100ml Perfume No 46,No Series,3,"NGN45,000.00",$60
100ml Perfume No 5,No Series,4,"NGN45,000.00",$60
100ml Perfume No 6,No Series,5,"NGN45,000.00",$60
CAR DIFFUSER FRUITY,Car Diffusers,9,"NGN5,000.00",$10
ENIGMA ,Signature,4,"NGN90,000.00",$100
GIFT SET,GIFT SET,1,"NGN150,000.00",$200
HOME DIFFUSER  OUD MAGNIFIQUE,Home Diffuser,5,"NGN25,000.00",$40
HOME DIFFUSER CITRUS MIX,Home Diffuser,5,"NGN25,000.00",$40
HOME DIFFUSER FRUITY,Home Diffuser,8,"NGN25,000.00",$40
HOME DIFFUSSER BERRY ISLAND,Home Diffuser,1,"NGN25,000.00",$40
INTENSE SOLID OUD,Signature,15,"NGN150,000.00",$150
MYSTIKAL,Signature,10,"NGN90,000.00",$100
Oil No 14,Perfume Oils,2,"NGN10,000.00",$60
Oil No 17,Perfume Oils,6,"NGN10,000.00",$60
Oil No 19,Perfume Oils,4,"NGN10,000.00",$60
Oil No 21,Perfume Oils,8,"NGN10,000.00",$60
Oil No 22,Perfume Oils,3,"NGN10,000.00",$60
Oil No 23,Perfume Oils,10,"NGN10,000.00",$60
Oil No 25,Perfume Oils,9,"NGN10,000.00",$60
Oil No 26,Perfume Oils,10,"NGN10,000.00",$60
Oil No 28,Perfume Oils,7,"NGN10,000.00",$60
Oil No 30,Perfume Oils,6,"NGN10,000.00",$60
Oil No 31,Perfume Oils,5,"NGN10,000.00",$60
Oil No 32,Perfume Oils,12,"NGN10,000.00",$60
Oil No 33,Perfume Oils,6,"NGN10,000.00",$60
Oil No 35,Perfume Oils,1,"NGN10,000.00",$60
Oil No 37,Perfume Oils,5,"NGN10,000.00",$60
Oil No 39,Perfume Oils,7,"NGN10,000.00",$60
Oil No 4,Perfume Oils,6,"NGN10,000.00",$60
Oil No 40,Perfume Oils,7,"NGN10,000.00",$60
Oil No 42,Perfume Oils,12,"NGN10,000.00",$60
Oil No 46,Perfume Oils,9,"NGN10,000.00",$60
Oil No 5,Perfume Oils,1,"NGN10,000.00",$60
Oil No 6,Perfume Oils,6,"NGN10,000.00",$60
Oil No 8,Perfume Oils,6,"NGN10,000.00",$60
Oil No 9,Perfume Oils,3,"NGN10,000.00",$60
OUD OSMOSIS,Signature,5,"NGN100,000.00",$150
PRESTIGE,Signature,12,"NGN150,000.00",$150
ROYALE,Signature,17,"NGN90,000.00",$100
SOLID OUD,Signature,17,"NGN100,000.00",$150
